flightID,departuretime,arrivaltime,planned_path_cost,actual_path_cost,shortest_path_cost
JBU1823-1526361965-airline-0445:0,2018:05:17 21:43:00,2018:05:18 04:00:00,22561.2514123,23215.389557500657,21661.3645022
DAL454-1526361968-airline-0038,2018:05:17 18:25:00,2018:05:18 00:55:00,23041.3277588,23230.155771264992,21943.1113282
DAL458-1526361968-airline-0286:0,2018:05:17 12:55:00,2018:05:17 19:01:00,22567.9799384,22621.616928565185,22136.9409979
JBU1623-1526361965-airline-0033,2018:05:17 18:30:00,2018:05:18 01:04:00,23041.3277588,23088.673287836213,21943.1113282
DAL330-1526361968-airline-0186:0,2018:05:17 08:55:00,2018:05:17 15:10:00,22689.3295627,22818.92365792414,22221.8848388
AAL293-1526361963-airline-0532:0,2018:05:17 19:15:00,2018:05:18 01:54:00,22491.8161821,22921.210663872138,21791.1367508
JBU123-1526361965-airline-0340:0,2018:05:17 06:31:00,2018:05:17 12:44:00,22959.320515,22824.18482136474,22282.392303
DAL472-1526275542-airline-0050:0,2018:05:17 07:05:00,2018:05:17 13:19:00,22959.4820652,22879.24257375288,22282.392303
DAL400-1526361968-airline-0169:0,2018:05:17 14:30:00,2018:05:17 20:45:00,23266.2362147,23504.091534026185,22070.1840128
DAL747-1526361968-airline-0131,2018:05:17 10:55:00,2018:05:17 16:57:00,22709.1942518,22725.13232432426,22207.2882241
JBU1323-1526361965-airline-0129:0,2018:05:17 14:27:00,2018:05:17 20:51:00,22631.397597,22686.37458058841,22070.1840128
AAL1-1526361963-airline-0231:0,2018:05:17 07:00:00,2018:05:17 13:42:00,23198.4980077,23216.63295292863,22282.392303
AAL23-1526361963-airline-0164:0,2018:05:17 13:30:00,2018:05:17 19:58:00,23234.7228321,23392.340749819858,22068.3772912
AAL133-1526361963-airline-0514:0,2018:05:17 17:00:00,2018:05:17 23:36:00,23095.090588,23216.846293629955,22030.1813296
AAL185-1526361963-airline-0170:0,2018:05:17 20:15:00,2018:05:18 02:49:00,22640.3431135,23069.946619539307,21703.3725802
DAL424-1526361968-airline-0235:0,2018:05:17 06:00:00,2018:05:17 12:06:00,23143.8316732,23219.00272924303,22259.6927765
AAL33-1526361963-airline-0182:0,2018:05:17 06:00:00,2018:05:17 12:36:00,23141.8109788,23204.22943501039,22259.6927765
AAL3-1526361963-airline-0192,2018:05:17 11:00:00,2018:05:17 17:16:00,23143.6612693,23278.603635115247,22207.2882241
ASA1413-1526361964-airline-0243:0,2018:05:17 15:50:00,2018:05:17 22:15:00,23182.5230335,23446.26005080958,22035.0775236
DAL212-1526361968-airline-0416:0,2018:05:17 15:55:00,2018:05:17 22:05:00,23182.5230335,23414.77650829766,22035.0775236
JBU523-1526361965-airline-0087:0,2018:05:17 11:30:00,2018:05:17 17:39:00,22762.5091995,22786.885095856323,22177.3051985
